date,sym,price,size,qualifier,extime
2014-02-13,RIO.AX,67.89,160,,15:39:07.715
2014-02-13,RIO.AX,67.9,74,,15:39:09.962
2014-02-13,RIO.AX,67.89,288,,15:39:12.894
2014-02-13,RIO.AX,67.89,452,,15:39:17.387
2014-02-13,RIO.AX,67.89,1,,15:39:17.387
2014-02-13,RIO.AX,67.89,17,,15:39:17.387
2014-02-13,RIO.AX,67.89,22,,15:39:17.387
2014-02-13,RIO.AX,67.89,197,,15:39:17.387
2014-02-13,RIO.AX,67.89,17,,15:39:17.387
2014-02-13,RIO.AX,67.89,65,,15:39:17.387
2014-02-13,RIO.AX,67.89,400,,15:39:17.387
2014-02-13,RIO.AX,67.89,4,,15:39:17.387
2014-02-13,RIO.AX,67.89,21,,15:39:17.387
2014-02-13,RIO.AX,67.89,34,,15:39:17.387
2014-02-13,RIO.AX,67.89,1,,15:39:17.699
2014-02-13,RIO.AX,67.89,10,,15:39:17.699
2014-02-13,RIO.AX,67.88,1,,15:39:17.762
2014-02-13,RIO.AX,67.88,97,,15:39:17.762
2014-02-13,RIO.AX,67.88,69,,15:39:17.762
2014-02-13,RIO.AX,67.88,16,,15:39:17.762
2014-02-13,RIO.AX,67.88,39,,15:39:17.762
2014-02-13,RIO.AX,67.88,76,,15:39:17.762
2014-02-13,RIO.AX,67.88,75,,15:39:17.762
2014-02-13,RIO.AX,67.88,10,,15:39:17.762
2014-02-13,RIO.AX,67.88,2,,15:39:17.793
2014-02-13,RIO.AX,67.88,91,,15:39:17.793
2014-02-13,RIO.AX,67.88,91,,15:39:17.793
2014-02-13,RIO.AX,67.88,68,,15:39:17.886
2014-02-13,RIO.AX,67.87,31,,15:39:18.011
2014-02-13,RIO.AX,67.87,69,,15:39:18.011
2014-02-13,RIO.AX,67.87,1,,15:39:18.854
2014-02-13,RIO.AX,67.87,31,,15:39:19.415
2014-02-13,RIO.AX,67.87,69,,15:39:19.415
2014-02-13,RIO.AX,67.875,129,CX,15:39:43.564
2014-02-13,RIO.AX,67.875,53,CX,15:39:43.564
2014-02-13,RIO.AX,67.87,53,,15:39:43.626
2014-02-13,RIO.AX,67.87,6,,15:39:43.626
2014-02-13,RIO.AX,67.87,59,,15:39:43.626
2014-02-13,RIO.AX,67.875,37,CX,15:39:44.094
2014-02-13,RIO.AX,67.88,1,XT,15:39:59.944
2014-02-13,RIO.AX,67.875,1,CX,15:40:00.162
2014-02-13,RIO.AX,67.875,1,CX,15:40:00.318
2014-02-13,RIO.AX,67.875,1109,CX,15:40:00.443
2014-02-13,RIO.AX,67.875,589,CX,15:40:01.442
2014-02-13,RIO.AX,67.88,334,,15:40:01.504
2014-02-13,RIO.AX,67.88,120,,15:40:01.504
2014-02-13,RIO.AX,67.88,1,,15:40:01.504
2014-02-13,RIO.AX,67.88,65,,15:40:01.504
2014-02-13,RIO.AX,67.88,20,,15:40:01.504
2014-02-13,RIO.AX,67.88,5,,15:40:01.504
2014-02-13,RIO.AX,67.88,200,,15:40:01.504
2014-02-13,RIO.AX,67.88,282,,15:40:01.504
2014-02-13,RIO.AX,67.88,82,,15:40:01.504
2014-02-13,RIO.AX,67.88,18,,15:40:02.128
2014-02-13,RIO.AX,67.88,39,,15:40:02.128
2014-02-13,RIO.AX,67.87,63,,15:40:02.128
2014-02-13,RIO.AX,67.87,1,,15:40:02.128
2014-02-13,RIO.AX,67.87,129,,15:40:02.128
2014-02-13,RIO.AX,67.88,100,,15:40:02.783
2014-02-13,RIO.AX,67.88,47,,15:40:04.062
2014-02-13,RIO.AX,67.88,151,,15:40:04.062
2014-02-13,RIO.AX,67.88,132,,15:40:04.499
2014-02-13,RIO.AX,67.88,130,,15:40:04.499
